ImageId,Label
1.0,2
2.0,0
3.0,9
4.0,0
5.0,3
6.0,7
7.0,0
8.0,3
9.0,0
10.0,3
11.0,5
12.0,7
13.0,4
14.0,0
15.0,4
16.0,3
17.0,3
18.0,1
19.0,9
20.0,0
21.0,9
22.0,1
23.0,1
24.0,5
25.0,7
26.0,4
27.0,2
28.0,7
29.0,4
30.0,7
31.0,7
32.0,5
33.0,4
34.0,2
35.0,6
36.0,2
37.0,5
38.0,5
39.0,1
40.0,6
41.0,7
42.0,7
43.0,4
44.0,9
45.0,8
46.0,7
47.0,8
48.0,2
49.0,6
50.0,7
51.0,6
52.0,8
53.0,8
54.0,3
55.0,8
56.0,2
57.0,1
58.0,2
59.0,2
60.0,0
61.0,4
62.0,1
63.0,7
64.0,0
65.0,0
66.0,0
67.0,1
68.0,9
69.0,0
70.0,1
71.0,6
72.0,5
73.0,8
74.0,8
75.0,2
76.0,8
77.0,9
78.0,9
79.0,2
80.0,3
81.0,5
82.0,4
83.0,1
84.0,8
85.0,9
86.0,2
87.0,4
88.0,3
89.0,6
90.0,7
91.0,2
92.0,0
93.0,6
94.0,6
95.0,1
96.0,4
97.0,3
98.0,9
99.0,7
100.0,4
101.0,0
102.0,9
103.0,2
104.0,0
105.0,7
106.0,3
107.0,0
108.0,5
109.0,0
110.0,8
111.0,0
112.0,0
113.0,4
114.0,7
115.0,1
116.0,7
117.0,1
118.0,1
119.0,3
120.0,3
121.0,3
122.0,7
123.0,2
124.0,8
125.0,6
126.0,3
127.0,8
128.0,7
129.0,7
130.0,4
131.0,3
132.0,5
133.0,6
134.0,0
135.0,0
136.0,0
137.0,3
138.0,1
139.0,3
140.0,6
141.0,4
142.0,3
143.0,4
144.0,5
145.0,5
146.0,8
147.0,7
148.0,7
149.0,2
150.0,8
151.0,4
152.0,3
153.0,5
154.0,6
155.0,5
156.0,3
157.0,7
158.0,5
159.0,7
160.0,8
161.0,3
162.0,0
163.0,4
164.0,5
165.0,1
166.0,3
167.0,7
168.0,6
169.0,3
170.0,0
171.0,2
172.0,7
173.0,8
174.0,6
175.0,1
176.0,3
177.0,7
178.0,4
179.0,1
180.0,2
181.0,4
182.0,8
183.0,5
184.0,2
185.0,4
186.0,9
187.0,2
188.0,1
189.0,6
190.0,0
191.0,6
192.0,1
193.0,4
194.0,9
195.0,6
196.0,0
197.0,9
198.0,7
199.0,6
200.0,9
201.0,1
202.0,9
203.0,0
204.0,9
205.0,9
206.0,0
207.0,8
208.0,4
209.0,6
210.0,2
211.0,0
212.0,9
213.0,3
214.0,6
215.0,3
216.0,2
217.0,1
218.0,6
219.0,3
220.0,4
221.0,2
222.0,3
223.0,1
224.0,2
225.0,2
226.0,0
227.0,4
228.0,6
229.0,1
230.0,0
231.0,0
232.0,4
233.0,9
234.0,1
235.0,7
236.0,3
237.0,2
238.0,3
239.0,8
240.0,6
241.0,8
242.0,6
243.0,2
244.0,8
245.0,5
246.0,5
247.0,4
248.0,8
249.0,3
250.0,5
251.0,9
252.0,7
253.0,1
254.0,3
255.0,8
256.0,4
257.0,5
258.0,1
259.0,4
260.0,5
261.0,6
262.0,3
263.0,3
264.0,5
265.0,7
266.0,0
267.0,6
268.0,8
269.0,3
270.0,1
271.0,6
272.0,0
273.0,6
274.0,3
275.0,9
276.0,5
277.0,1
278.0,5
279.0,8
280.0,4
281.0,0
282.0,9
283.0,2
284.0,0
285.0,5
286.0,3
287.0,7
288.0,1
289.0,9
290.0,9
291.0,5
292.0,7
293.0,7
294.0,9
295.0,9
296.0,6
297.0,3
298.0,0
299.0,3
300.0,3
301.0,6
302.0,9
303.0,8
304.0,2
305.0,6
306.0,3
307.0,7
308.0,1
309.0,4
310.0,5
311.0,8
312.0,5
313.0,9
314.0,0
315.0,0
316.0,3
317.0,8
318.0,4
319.0,1
320.0,8
321.0,4
322.0,1
323.0,1
324.0,9
325.0,8
326.0,4
327.0,5
328.0,1
329.0,5
330.0,3
331.0,6
